시도명,시군구명,성별,연령대,인구수
서울특별시,동대문구,남자,10대,11574
서울특별시,동대문구,남자,20대,26857
서울특별시,동대문구,남자,30대,25492
서울특별시,동대문구,남자,40대,24742
서울특별시,동대문구,남자,50대,26616
서울특별시,동대문구,남자,60대이상,42985
서울특별시,동대문구,여자,0-9세,8767
서울특별시,동대문구,여자,10대,11411
서울특별시,동대문구,여자,20대,29908
서울특별시,동대문구,여자,30대,24202
서울특별시,동대문구,여자,40대,23389
서울특별시,동대문구,여자,50대,26025
서울특별시,동대문구,여자,60대이상,50660
서울특별시,동작구,남자,0-9세,9936
서울특별시,동작구,남자,10대,13266
서울특별시,동작구,남자,20대,30549
서울특별시,동작구,남자,30대,30723
서울특별시,동작구,남자,40대,26846
서울특별시,동작구,남자,50대,27967
서울특별시,동작구,남자,60대이상,43728
서울특별시,동작구,여자,0-9세,9536
서울특별시,동작구,여자,10대,12658
서울특별시,동작구,여자,20대,32894
서울특별시,동작구,여자,30대,29575
서울특별시,동작구,여자,40대,26822
서울특별시,동작구,여자,50대,29524
서울특별시,동작구,여자,60대이상,54528
서울특별시,마포구,남자,0-9세,10220
서울특별시,마포구,남자,10대,13105
서울특별시,마포구,남자,20대,25480
서울특별시,마포구,남자,30대,30204
서울특별시,마포구,남자,40대,27196
서울특별시,마포구,남자,50대,27374
서울특별시,마포구,남자,60대이상,35820
서울특별시,마포구,여자,0-9세,9828
서울특별시,마포구,여자,10대,13199
서울특별시,마포구,여자,20대,33007
서울특별시,마포구,여자,30대,33734
서울특별시,마포구,여자,40대,29123
서울특별시,마포구,여자,50대,28956
서울특별시,마포구,여자,60대이상,45922
서울특별시,서대문구,남자,0-9세,8703
서울특별시,서대문구,남자,10대,10962
서울특별시,서대문구,남자,20대,22192
서울특별시,서대문구,남자,30대,22136
서울특별시,서대문구,남자,40대,21512
서울특별시,서대문구,남자,50대,23706
서울특별시,서대문구,남자,60대이상,35675
서울특별시,서대문구,여자,0-9세,8280
서울특별시,서대문구,여자,10대,11155
서울특별시,서대문구,여자,20대,26094
서울특별시,서대문구,여자,30대,22641
서울특별시,서대문구,여자,40대,22052
서울특별시,서대문구,여자,50대,25346
서울특별시,서대문구,여자,60대이상,45241
서울특별시,서초구,남자,0-9세,13902
서울특별시,서초구,남자,10대,22460
서울특별시,서초구,남자,20대,23513
서울특별시,서초구,남자,30대,26389
서울특별시,서초구,남자,40대,33031
서울특별시,서초구,남자,50대,32488
서울특별시,서초구,남자,60대이상,42019
서울특별시,서초구,여자,0-9세,13221
서울특별시,서초구,여자,10대,22002
서울특별시,서초구,여자,20대,26043
서울특별시,서초구,여자,30대,30645
서울특별시,서초구,여자,40대,38302
서울특별시,서초구,여자,50대,33363
서울특별시,서초구,여자,60대이상,49921
서울특별시,성동구,남자,0-9세,8499
서울특별시,성동구,남자,10대,8874
서울특별시,성동구,남자,20대,19508
서울특별시,성동구,남자,30대,22522
서울특별시,성동구,남자,40대,20256
서울특별시,성동구,남자,50대,21776
서울특별시,성동구,남자,60대이상,32661
서울특별시,성동구,여자,0-9세,7952
서울특별시,성동구,여자,10대,9012
서울특별시,성동구,여자,20대,20856
서울특별시,성동구,여자,30대,23489
서울특별시,성동구,여자,40대,20162
서울특별시,성동구,여자,50대,22553
서울특별시,성동구,여자,60대이상,38647
서울특별시,성북구,남자,0-9세,11927
서울특별시,성북구,남자,10대,17677
서울특별시,성북구,남자,20대,30282
서울특별시,성북구,남자,30대,27909
서울특별시,성북구,남자,40대,30612
서울특별시,성북구,남자,50대,34998
서울특별시,성북구,남자,60대이상,49952
서울특별시,성북구,여자,0-9세,11342
서울특별시,성북구,여자,10대,17300
서울특별시,성북구,여자,20대,34192
서울특별시,성북구,여자,30대,27785
서울특별시,성북구,여자,40대,31642
서울특별시,성북구,여자,50대,36007
서울특별시,성북구,여자,60대이상,62690
서울특별시,송파구,남자,0-9세,21908
서울특별시,송파구,남자,10대,29013
서울특별시,송파구,남자,20대,39087
서울특별시,송파구,남자,30대,50327
서울특별시,송파구,남자,40대,51125
서울특별시,송파구,남자,50대,48680
서울특별시,송파구,남자,60대이상,73334
서울특별시,송파구,여자,0-9세,20495
서울특별시,송파구,여자,10대,27994
서울특별시,송파구,여자,20대,44277
서울특별시,송파구,여자,30대,55084
서울특별시,송파구,여자,40대,54497
서울특별시,송파구,여자,50대,52146
서울특별시,송파구,여자,60대이상,85161
서울특별시,양천구,남자,0-9세,12694
서울특별시,양천구,남자,10대,24408
서울특별시,양천구,남자,20대,25790
서울특별시,양천구,남자,30대,26234
서울특별시,양천구,남자,40대,34209
서울특별시,양천구,남자,50대,36876
서울특별시,양천구,남자,60대이상,51188
서울특별시,양천구,여자,0-9세,11974
서울특별시,양천구,여자,10대,22627
서울특별시,양천구,여자,20대,25518
서울특별시,양천구,여자,30대,26638
서울특별시,양천구,여자,40대,37321
서울특별시,양천구,여자,50대,37738
서울특별시,양천구,여자,60대이상,60379
서울특별시,영등포구,남자,0-9세,10992
서울특별시,영등포구,남자,10대,11793
서울특별시,영등포구,남자,20대,25448
서울특별시,영등포구,남자,30대,36289
서울특별시,영등포구,남자,40대,27521
서울특별시,영등포구,남자,50대,27922
서울특별시,영등포구,남자,60대이상,43582
서울특별시,영등포구,여자,0-9세,10563
서울특별시,영등포구,여자,10대,11037
서울특별시,영등포구,여자,20대,31217
서울특별시,영등포구,여자,30대,35461
서울특별시,영등포구,여자,40대,25968
서울특별시,영등포구,여자,50대,27346
서울특별시,영등포구,여자,60대이상,49970
서울특별시,용산구,남자,0-9세,5372
서울특별시,용산구,남자,10대,6747
서울특별시,용산구,남자,20대,13027
서울특별시,용산구,남자,30대,18051
서울특별시,용산구,남자,40대,14909
서울특별시,용산구,남자,50대,16239
서울특별시,용산구,남자,60대이상,24468
서울특별시,용산구,여자,0-9세,5227
서울특별시,용산구,여자,10대,6539
서울특별시,용산구,여자,20대,15725
서울특별시,용산구,여자,30대,18448
서울특별시,용산구,여자,40대,15286
서울특별시,용산구,여자,50대,16980
서울특별시,용산구,여자,60대이상,29457
서울특별시,은평구,남자,0-9세,11966
서울특별시,은평구,남자,10대,17851
서울특별시,은평구,남자,20대,28281
서울특별시,은평구,남자,30대,32461
서울특별시,은평구,남자,40대,34014
서울특별시,은평구,남자,50대,37590
서울특별시,은평구,남자,60대이상,58521
서울특별시,은평구,여자,0-9세,11388
서울특별시,은평구,여자,10대,17061
서울특별시,은평구,여자,20대,32692
서울특별시,은평구,여자,30대,34036
서울특별시,은평구,여자,40대,34952
서울특별시,은평구,여자,50대,40453
서울특별시,은평구,여자,60대이상,74041
서울특별시,종로구,남자,0-9세,2900
서울특별시,종로구,남자,10대,4713
서울특별시,종로구,남자,20대,10133
서울특별시,종로구,남자,30대,9718
서울특별시,종로구,남자,40대,9151
서울특별시,종로구,남자,50대,11634
서울특별시,종로구,남자,60대이상,18856
서울특별시,종로구,여자,0-9세,2809
서울특별시,종로구,여자,10대,4976
서울특별시,종로구,여자,20대,11412
서울특별시,종로구,여자,30대,9786
서울특별시,종로구,여자,40대,9702
서울특별시,종로구,여자,50대,12013
서울특별시,종로구,여자,60대이상,21540
서울특별시,중구,남자,0-9세,2786
서울특별시,중구,남자,10대,3075
서울특별시,중구,남자,20대,7846
서울특별시,중구,남자,30대,10584
서울특별시,중구,남자,40대,8493
서울특별시,중구,남자,50대,9503
서울특별시,중구,남자,60대이상,16386
서울특별시,중구,여자,0-9세,2691
서울특별시,중구,여자,10대,3045
서울특별시,중구,여자,20대,9473
서울특별시,중구,여자,30대,10701
서울특별시,중구,여자,40대,8180
서울특별시,중구,여자,50대,9481
서울특별시,중구,여자,60대이상,19287
서울특별시,중랑구,남자,0-9세,9439
서울특별시,중랑구,남자,10대,12142
서울특별시,중랑구,남자,20대,23379
서울특별시,중랑구,남자,30대,29559
서울특별시,중랑구,남자,40대,27399
서울특별시,중랑구,남자,50대,31797
서울특별시,중랑구,남자,60대이상,53082
서울특별시,중랑구,여자,0-9세,9074
서울특별시,중랑구,여자,10대,11583
서울특별시,중랑구,여자,20대,25691
서울특별시,중랑구,여자,30대,28489
서울특별시,중랑구,여자,40대,25209
서울특별시,중랑구,여자,50대,32564
서울특별시,중랑구,여자,60대이상,62091
